first_air_date,genre_ids,id,name,original_language,original_name,overview,popularity,vote_average,vote_count
2000-10-03,"[16, 35, 18, 10759]",42705,Fighting Spirit,ja,はじめの一歩,"Makunouchi Ippo is an ordinary high school student in Japan. Since he spends most of his time away from school helping his mother run the family business, he doesn't get to enjoy his younger years like most teenagers. Always a target for bullying at school (the family fishing business grants him a distinct odor), Ippo's life is one of hardship. One of these after-school bullying sessions turns Ippo's life around for the better, as he is saved by a boxer named Takamura. He decides to follow in Takamura's footsteps and train to become a boxer, giving his life direction and purpose. Ippo's path to perfecting his pugilistic prowess is just beginning...",144.584,8.6,891
2002-10-01,"[16, 10765]",1095,Ghost in the Shell: Stand Alone Complex,ja,攻殻機動隊 STAND ALONE COMPLEX,"In the future when technological enhancements and robotics are a way of life, Major Motoko Kusanagi and Section 9 take care of the jobs that are too difficult for the police. Section 9 employs hackers, sharpshooters, detectives and cyborgs all in an effort to thwart cyber criminals and their plans to attack the innocent.",144.47,8.2,330
2020-04-05,"[16, 35, 18, 10765]",94904,My Next Life as a Villainess: All Routes Lead to Doom!,ja,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,"Wealthy heiress Catarina Claes is hit in the head with a rock and recovers the memories of her past life. It turns out the world she lives in is the world of the game Fortune Lover, an otome game she was obsessed with in her past life... but she's been cast as the villain character who tries to foil the protagonist's romances!",143.451,7.3,52
2022-07-06,"[16, 10759, 10765]",114477,Harem in the Labyrinth of Another World,ja,異世界迷宮でハーレムを,"High school student Michio Kaga was wandering aimlessly through life and the Internet, when he finds himself transported from a shady website to a fantasy world — reborn as a strong man who can use ""cheat"" powers. He uses his powers to become an adventurer, earn money, and get the right to claim girls that have idol-level beauty to form his very own harem.",142.657,6.4,55
2002-10-05,"[10759, 16, 10765, 10768]",20111,Mobile Suit Gundam SEED,ja,機動戦士ガンダムSEED,"In this era, mankind has developed into two subspecies: Naturals, who reside on Earth and Coordinators, genetically-enhanced humans capable of withstanding the rigors of space who inhabit orbital colonies. The story revolves around a young Coordinator Kira Yamato who becomes involved in the war between the two races after a neutral space colony is invaded by the Coordinators.",141.602,7.4,33
1986-10-11,"[16, 18, 10759]",42444,Saint Seiya,ja,聖闘士星矢,"Ages ago, the goddess Athena was served by fighters called Saints who channeled the power of the Cosmos within them. Now a youth named Seiya has trained to become a Saint himself by earning the mystical Cloth of Pegasus. He is joined by other Saints with Cloths of their own to fight for Athena.",141.578,8.5,1164
2023-04-11,"[16, 10759, 10765]",214540,Dead Mount Death Play,ja,デッドマウント・デスプレイ,"As a legendary hero nears victory against a necromancer known as The Corpse God, things take an unexpected turn with the dark sorcerer’s final gambit—reincarnation magic. This last-ditch effort catches the brave fighter off guard, and now he’s a boy named Polka Shinoyama in a whole new world! The showdown between good and evil just got epic.",141.34799999999998,6.7,20
1971-10-24,"[16, 10759, 10765]",31572,Lupin the Third,ja,ルパン三世,"Follow the thrilling adventures of master thief Lupin the Third, quite possibly the world's greatest thief. Along with Daisuke Jigen, Goemon Ishikawa and his on-off love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata.",140.14600000000002,8.0,90
1989-04-15,"[35, 10759, 16, 10765]",57706,Ranma ½,ja,らんま½,"Saotome Ranma, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns in to a girl, and a cute, well-built red-head at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Tendo Akane, a girl who hates boys.",137.91,8.6,1214
1999-03-07,"[16, 10759, 10765, 10762]",31654,Digimon Adventure,ja,デジモンアドベンチャー,"While at summer camp, seven kids are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon who were born to defend their world from various evil forces.",133.915,8.1,756
1996-01-08,"[16, 35, 9648]",30983,Case Closed,ja,名探偵コナン,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.",133.616,8.0,620
2023-10-07,"[16, 35, 10765, 10759]",209077,Undead Unluck,ja,アンデッドアンラック,"Andy, a Negator with the ability ""Undead,"" has been long in search for someone with the ability to give him a 'real death.' Fuko Izumo brings misfortune to those around her due to her ability ""Unluck."" The two decide to join the Union, an organization which aims to control and protect the world from unidentified phenomena. The two uncover the mystery of the world as they search for the ""greatest death ever.""",133.533,7.1,9
1992-03-07,"[10759, 16, 18, 10765]",3570,Sailor Moon,ja,美少女戦士セーラームーン,"One day, Usagi Tsukino, clumsy 2nd-year middle school student, stumbles upon a talking cat named Luna. Luna tells her that she is destined to be Sailor Moon, ""champion of love and justice"", and she must search for the fabled Moon Princess. Usagi finds friends that turn out to be destined senshi as well, and together they fight to save the world from the certain doom brought upon by the Dark Kingdom.",132.959,8.3,865
2017-04-03,"[16, 18]",70998,Souryo to Majiwaru Shikiyoku no Yoru ni...,ja,僧侶と交わる色欲の夜に…,"At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home.

However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.",132.379,5.4,8
2002-04-19,"[16, 35]",9537,My Family,ja,あたしンち,"A light hearted comedy based on the about the daily life of a ""normal"" Japanese family. The Tachibana family consists of a housewife mom, a salary-man dad, and teenager Mikan and Yuzuhiko.",132.097,8.8,11
2007-02-15,"[16, 10759, 10765]",31910,Naruto Shippūden,ja,ナルト 疾風伝,"After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work. It will not be easy though as he has amassed a few more dangerous enemies, in the likes of the shinobi organization; Akatsuki.",132.011,8.6,7778
2021-10-09,"[16, 10759, 10765]",123525,The Faraway Paladin,ja,最果てのパラディン,"In a city of the dead, long since ruined and far from human civilization, lives a single human child. His name is Will, and he's being raised by three undead: the hearty skeletal warrior, Blood; the graceful mummified priestess, Mary; and the crotchety spectral sorcerer, Gus. The three pour love into the boy, and teach him all they know. But one day, Will starts to wonder: ""Who am I?"" Will must unravel the mysteries of this faraway dead man's land, and unearth the secret pasts of the undead. He must learn the love and mercy of the good gods, and the bigotry and madness of the bad. And when he knows it all, the boy will take his first step on the path to becoming a Paladin.",131.8,7.0,41
